metric,value
coverage,0.32366666666666666
em_mean,0.19773429454170957
f1_mean,0.27910409504362793
rougeL_mean,0.28132710947055584
bleu_mean,0.04038436224765417
n_eval_retrieval,971.0
recall@1,0.33264675592173015
precision@1,0.33264675592173015
mrr@1,0.33264675592173015
recall@3,0.44490216271884653
precision@3,0.1891520768966706
mrr@3,0.3839684174390662
recall@5,0.4881565396498455
precision@5,0.13285272914521207
mrr@5,0.3938551321661514
recall@10,0.5262615859938208
precision@10,0.07868177136972201
mrr@10,0.3990060974612982
